X,Y,OBJECTID,Geocode_Address,Geocode_Street,Case_Number,OccurredFrom_Date_Year,OccurredFrom_Date_Month,OccurredFrom_Time,OccurredFrom_Timestamp,OccurredThrough_Date_Year,OccurredThrough_Date_Month,OccurredThrough_Time,OccurredThrough_Timestamp,Reported_Date_Year,Reported_Date_Month,Reported_Time,Reported_Timestamp,Address_StreetFull,Address_City,Address_State,Patrol_Beat,Patrol_Section,Case_Status,Statute_Title,Statute_Section,Statute_Subsection,Statute_Degree,Statute_Class,Statute_Category,Statute_Text,Statute_Description,Statute_CrimeCategory,Statute_Attempted,Weapon_Description,Larceny_Type,Location_Type,Geo_Beat,Geo_Section,Geo_Section_Num
-77.612981113386994,43.157008472103328,57,"70 State St, Rochester, NY, 14614",70 STATE ST,2018-00047422,2018,3,2030,2018-03-01T20:30:00.000Z,2018,3,2035,2018-03-01T20:35:00.000Z,2018,3,2030,2018-03-02T01:30:00.000Z,70 STATE ST,Rochester,NY,209,Central,Cleared by Arrest - Adult,PL ,160.05   ,      ,3,D,F,Robbery,Robbery 3rd                                                 ,3,Attempted,Other Weapon,* No Larceny Type Specified *,Other Commercial Service Location,209,Central,9
-77.629494139931836,43.152054939313096,74293,"626 W Main St, Rochester, NY, 14611",626 W MAIN ST,2018-00043019,2018,2,1430,2018-02-23T14:30:00.000Z,2018,2,1500,2018-02-23T15:00:00.000Z,2018,2,1130,2018-02-24T16:30:00.000Z,626 W MAIN ST,Rochester,NY,213,Genesee,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Theft from Building,Liquor Store,213,Genesee,3
-77.655837278162139,43.163192987511572,74711,"183 Campbell Park, Rochester, NY, 14606",183 CAMPBELL PARK,2018-00038654,2018,2,1900,2018-02-18T19:00:00.000Z,2018,2,1000,2018-02-19T10:00:00.000Z,2018,2,1140,2018-02-19T16:40:00.000Z,183 CAMPBELL PARK,Rochester,NY,281,Lake,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,281,Lake,1
-77.597925705481074,43.156117499040555,74744,"240 East Ave, Rochester, NY, 14607",240 EAST AVE,2018-00054754,2018,3,2040,2018-03-10T20:40:00.000Z,2018,3,2300,2018-03-10T23:00:00.000Z,2018,3,2337,2018-03-11T04:37:00.000Z,240 EAST AVE,Rochester,NY,219,Central,Office,PL ,155.30   ,08    ,4,E,F,Motor Vehicle Theft,Grand Larceny 4th: Motor Vehicle Value Exceeds $100         ,7,Completed,* No Weapon Specified *,Theft of Motor Vehicle Parts or Accessories,Street,219,Central,9
-77.607213443293432,43.25579810636475,74887,"1000 N River St, Rochester, NY, 14612",1000 N RIVER ST,2018-00040338,2018,2,1800,2018-02-16T18:00:00.000Z,2018,2,1100,2018-02-19T11:00:00.000Z,2018,2,0805,2018-02-21T13:05:00.000Z,1000 N RIVER ST,Rochester,NY,201,Lake,Office,PL ,155.30   ,01    ,4,E,F,Larceny,Grand Larceny 4th: Value Property Greater Than $1000        ,6,Completed,* No Weapon Specified *,All Other Larcenies,Bar,201,Lake,1
-77.592955868517222,43.160587025732298,74911,"718 E Main St, Rochester, NY, 14605",718 E MAIN ST,2018-00044406,2018,2,1000,2018-02-26T10:00:00.000Z,2018,2,1011,2018-02-26T10:11:00.000Z,2018,2,1012,2018-02-26T15:12:00.000Z,718 E MAIN ST,Rochester,NY,225,Goodman,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Gas Station,225,Goodman,5
-77.65976239031437,43.159078046675695,75184,"423 Mount Read Blvd, Rochester, NY, 14611",423 MT READ BLVD,2018-00043441,2018,2,2202,2018-02-24T22:02:00.000Z,2018,2,2202,2018-02-24T22:02:00.000Z,2018,2,2202,2018-02-25T03:02:00.000Z,423 MT READ BLVD,Rochester,NY,281,Lake,Field,PL ,120.05   ,06    ,2,D,F,Aggravated Assault,Assault 2nd: Cause Injury to Non Participant During Commissi,4,Completed,Not Reported,* No Larceny Type Specified *,Single Family Home,281,Lake,1
-77.603281013511605,43.149622831443558,75430,"109 Griffith St, Rochester, NY, 14607",109 GRIFFITH ST,2018-00044419,2018,2,2130,2018-02-25T21:30:00.000Z,2018,2,1015,2018-02-26T10:15:00.000Z,2018,2,1025,2018-02-26T15:25:00.000Z,109 GRIFFITH ST,Rochester,NY,229,Central,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Other Outside Location,229,Central,9
-77.641037602094642,43.179664770789771,75480,"414 Lexington Ave, Rochester, NY, 14613",414 LEXINGTON AVE,2018-00043920,2018,2,1530,2018-02-24T15:30:00.000Z,2018,2,1700,2018-02-24T17:00:00.000Z,2018,2,1555,2018-02-25T20:55:00.000Z,414 LEXINGTON AVE,Rochester,NY,241,Lake,Office,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Theft from Motor Vehicle,Parking Lot,241,Lake,1
-77.587152622708842,43.170699326489029,75541,"257 Bay St, Rochester, NY, 14605",257 BAY ST,2018-00046475,2018,2,1719,2018-02-28T17:19:00.000Z,2018,2,1719,2018-02-28T17:19:00.000Z,2018,2,1719,2018-02-28T22:19:00.000Z,257 BAY ST,Rochester,NY,297,Clinton,Office,PL ,120.05   ,02    ,2,D,F,Aggravated Assault,Assault 2nd: Intent To Cause Physical Injury with Weapon/Ins,4,Completed,Semiautomatic Handgun,* No Larceny Type Specified *,Street,297,Clinton,7
-77.597175653571924,43.194386612343642,75843,"1490 Hudson Ave, Rochester, NY, 14621",1490 HUDSON AVE,2018-00036668,2018,2,1615,2018-02-16T16:15:00.000Z,2018,2,1615,2018-02-16T16:15:00.000Z,2018,2,1615,2018-02-16T21:15:00.000Z,1490 HUDSON AVE,Rochester,NY,207,Clinton,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Department/Discount Store,207,Clinton,7
-77.597175653571924,43.194386612343642,75844,"1490 Hudson Ave, Rochester, NY, 14621",1490 HUDSON AVE,2018-00035895,2018,2,1715,2018-02-15T17:15:00.000Z,2018,2,1715,2018-02-15T17:15:00.000Z,2018,2,1739,2018-02-15T22:39:00.000Z,1490 HUDSON AVE,Rochester,NY,207,Clinton,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Other Retail Store,207,Clinton,7
-77.597175653571924,43.194386612343642,75849,"1490 Hudson Ave, Rochester, NY, 14621",1490 HUDSON AVE,2018-00044649,2018,2,1436,2018-02-26T14:36:00.000Z,2018,2,1436,2018-02-26T14:36:00.000Z,2018,2,1444,2018-02-26T19:44:00.000Z,1490 HUDSON AVE,Rochester,NY,207,Clinton,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Other Retail Store,207,Clinton,7
-77.597175653571924,43.194386612343642,75850,"1490 Hudson Ave, Rochester, NY, 14621",1490 HUDSON AVE,2018-00042354,2018,2,1428,2018-02-23T14:28:00.000Z,2018,2,1428,2018-02-23T14:28:00.000Z,2018,2,1428,2018-02-23T19:28:00.000Z,1490 HUDSON AVE,Rochester,NY,207,Clinton,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Department/Discount Store,207,Clinton,7
-77.597175653571924,43.194386612343642,75851,"1490 Hudson Ave, Rochester, NY, 14621",1490 HUDSON AVE,2018-00041477,2018,2,1300,2018-02-22T13:00:00.000Z,2018,2,1300,2018-02-22T13:00:00.000Z,2018,2,1309,2018-02-22T18:09:00.000Z,1490 HUDSON AVE,Rochester,NY,207,Clinton,Cleared by Arrest - Adult,PL ,155.25   ,      ,0,A,M,Larceny,Petit Larceny                                               ,6,Completed,* No Weapon Specified *,Shoplifting,Department/Discount Store,207,Clinton,7
