X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.654268789442526,43.159539574854072,140,1,00-014489,2000-01-13T05:00:00.000Z,1,2000,2000-01-13T05:00:00.000Z,1,2000,0,CLOSED,"1228 JAY ST, ROCHESTER, NY, 14606",43.159531,-77.654266,Lake,281,Firearm,1,1
-77.6412797862735,43.180824578725797,139,2,00-023025,2000-01-22T05:00:00.000Z,1,2000,2000-01-22T05:00:00.000Z,1,2000,0,OPEN,"411 DRIVING PARK AVE, ROCHESTER, NY, 14613",43.180816,-77.641277,Lake,241,Firearm,1,
-77.613324777076613,43.178123579244669,138,3,00-026787,2000-01-25T05:00:00.000Z,1,2000,2000-01-25T05:00:00.000Z,1,2000,0,CLOSED,"1046 CLINTON AVE NORTH, ROCHESTER, NY, 14621",43.178115,-77.613322,Clinton,247,Firearm,1,1
-77.625217779009489,43.142653572652513,136,5,00-027146,2000-01-26T05:00:00.000Z,1,2000,2000-01-26T05:00:00.000Z,1,2000,0,CLOSED,"91 BARTLETT ST, ROCHESTER, NY, 14608",43.142645,-77.625215,Genesee,233,Knife/Cutting Instrument,1,1
-77.655357789854875,43.164540575597705,137,4,00-027628,2000-01-26T05:00:00.000Z,1,2000,2000-01-26T05:00:00.000Z,1,2000,0,CLOSED,"1149 LYELL AVE, ROCHESTER, NY, 14606",43.164532,-77.655355,Lake,281,Blunt Object,1,1
-77.61600177797753,43.176303579428975,135,6,00-039673,2000-02-06T05:00:00.000Z,2,2000,2000-02-06T05:00:00.000Z,2,2000,0,CLOSED,"61 FLOWER ST, ROCHESTER, NY, 14621",43.176295,-77.615999,Clinton,247,Knife/Cutting Instrument,1,1
-77.595698771742605,43.172159578958791,134,7,00-050871,2000-02-16T05:00:00.000Z,2,2000,2000-02-16T05:00:00.000Z,2,2000,0,OPEN,"42 LINCOLN ST, ROCHESTER, NY, 14605",43.172151,-77.595696,Clinton,277,Firearm,1,
-77.611723778284087,43.192891581931697,133,8,00-056095,2000-02-21T05:00:00.000Z,2,2000,2000-02-21T05:00:00.000Z,2,2000,0,CLOSED,"1776 CLINTON AVE NORTH, ROCHESTER, NY, 14621",43.192883,-77.611721,Clinton,207,Knife/Cutting Instrument,1,1
-77.651973787594358,43.146223572656311,132,9,00-063129,2000-02-27T05:00:00.000Z,2,2000,2000-02-27T05:00:00.000Z,2,2000,0,OPEN,"30 SALINA ST, ROCHESTER, NY, 14611",43.146215,-77.651971,Genesee,203,Firearm,1,
-77.636952783742288,43.158488574847198,131,10,00-075698,2000-03-09T05:00:00.000Z,3,2000,2000-03-09T05:00:00.000Z,3,2000,0,OPEN,"111 WHITNEY ST, ROCHESTER, NY, 14611",43.15848,-77.63695,Lake,291,Firearm,1,
-77.636952783742288,43.158488574847198,130,11,00-076575,2000-03-09T05:00:00.000Z,3,2000,2000-03-09T05:00:00.000Z,3,2000,0,OPEN,"111 WHITNEY ST, ROCHESTER, NY, 14611",43.15848,-77.63695,Lake,291,Firearm,1,
-77.609790773264166,43.143020573427243,129,12,00-080699,2000-03-10T05:00:00.000Z,3,2000,2000-03-13T04:00:00.000Z,3,2000,3,CLOSED,"34 HICKORY ST, ROCHESTER, NY, 14620",43.143012,-77.609788,Central,229,Unknown,1,1
-77.642430788208898,43.186272580236221,128,13,00-092835,2000-03-24T04:00:00.000Z,3,2000,2000-03-24T04:00:00.000Z,3,2000,0,OPEN,"402 AUGUSTINE ST, ROCHESTER, NY, 14613",43.186264,-77.642428,Lake,221,Firearm,1,
-77.6310067825044,43.160478575527371,127,14,00-096182,2000-03-26T04:00:00.000Z,3,2000,2000-03-26T04:00:00.000Z,3,2000,0,CLOSED,"613 SMITH ST, ROCHESTER, NY, 14608",43.16047,-77.631004,Lake,291,Firearm,1,1
-77.625995781324917,43.167665577438392,126,15,00-118443,2000-04-15T04:00:00.000Z,4,2000,2000-04-15T04:00:00.000Z,4,2000,0,CLOSED,"2 JONES AVE, ROCHESTER, NY, 14608",43.167657,-77.625993,Lake,271,Firearm,1,2
-77.623513777608082,43.141535572816089,124,17,00-134543,2000-04-28T04:00:00.000Z,4,2000,2000-04-28T04:00:00.000Z,4,2000,0,CLOSED,"113 COLUMBIA AVE, ROCHESTER, NY, 14608",43.141527,-77.623511,Genesee,233,Firearm,1,2
-77.623513777608082,43.141535572816089,125,16,00-134713,2000-04-28T04:00:00.000Z,4,2000,2000-04-28T04:00:00.000Z,4,2000,0,CLOSED,"113 COLUMBIA AVE, ROCHESTER, NY, 14608",43.141527,-77.623511,Genesee,233,Firearm,1,2
-77.58859276966831,43.176758580560438,123,18,00-139524,2000-05-01T04:00:00.000Z,5,2000,2000-05-01T04:00:00.000Z,5,2000,0,CLOSED,"64 TRUST ST, ROCHESTER, NY, 14621",43.17675,-77.58859,Clinton,267,Physical,1,1
-77.614507777456566,43.174747579233156,122,19,00-188402,2000-06-07T04:00:00.000Z,6,2000,2000-06-09T04:00:00.000Z,6,2000,2,CLOSED,"355 CLIFFORD AVE, ROCHESTER, NY, 14621",43.174739,-77.614505,Clinton,277,Other,1,2
-77.626945780858023,43.157662575392891,121,20,00-194086,2000-06-11T04:00:00.000Z,6,2000,2000-06-11T04:00:00.000Z,6,2000,0,CLOSED,"53 ROMEYN ST, ROCHESTER, NY, 14608",43.157654,-77.626943,Lake,291,Firearm,1,1
-77.626945780858023,43.157662575392891,120,21,00-195008,2000-06-11T04:00:00.000Z,6,2000,2000-06-11T04:00:00.000Z,6,2000,0,CLOSED,"53 ROMEYN ST, ROCHESTER, NY, 14608",43.157654,-77.626943,Lake,291,Firearm,1,1
-77.626945780858023,43.157662575392891,119,22,00-195010,2000-06-11T04:00:00.000Z,6,2000,2000-06-11T04:00:00.000Z,6,2000,0,CLOSED,"53 ROMEYN ST, ROCHESTER, NY, 14608",43.157654,-77.626943,Lake,291,Firearm,1,1
